Datetime,Text
2016-03-22 23:42:04+00:00,"""Ebola Fears Shut a Liberian Border"" by REUTERS via NYT The New York Times http://ift.tt/1Rinevt"
2016-03-22 23:41:49+00:00,"@miikeltxo Al igual que pasaba con el ébola...Sólo importa, sólo me preocupa, cuando ya lo veo venir o me toca de cerca."
2016-03-22 23:41:38+00:00,"""Ebola Fears Shut a Liberian Border"" by REUTERS via NYT The New York Times http://ift.tt/1Rinevt"
2016-03-22 23:41:25+00:00,"""Ebola Fears Shut a Liberian Border"" by REUTERS via NYT The New York Times http://ift.tt/1Rinevt"
2016-03-22 23:41:21+00:00,"""Ebola Fears Shut a Liberian Border"" by REUTERS via NYT The New York Times http://ift.tt/1Rinevt #MileHighCompany"
2016-03-22 23:41:05+00:00,"""Ebola Fears Shut a Liberian Border"" by REUTERS via NYT The New York Times http://ift.tt/1Rinevt"
2016-03-22 23:40:10+00:00,"""Ebola Fears Shut a Liberian Border"" by REUTERS via NYT The New York Times http://ift.tt/1Rinevt"
2016-03-22 23:39:56+00:00,"""Ebola Fears Shut a Liberian Border"" by REUTERS via NYT The New York Times http://ift.tt/1Rinevt"
2016-03-22 23:39:52+00:00,UNMC bio containment center #ebola 
2016-03-22 23:39:22+00:00,"""Ebola Fears Shut a Liberian Border"" by REUTERS via NYT The New York Times http://ift.tt/1Rinevt"
2016-03-22 23:39:20+00:00,"""Ebola Fears Shut a Liberian Border"" http://ift.tt/1Rinevt / NYTimes"
2016-03-22 23:39:15+00:00,Ebola crisis: actors used to assess UK readiness for virus in nationwide test http://bit.ly/1oXVyBN
2016-03-22 23:39:14+00:00,"""Ebola Fears Shut a Liberian Border"" by REUTERS via NYT The New York Times http://ift.tt/1Rinevt"
2016-03-22 23:39:08+00:00,"""Ebola Fears Shut a Liberian Border"" by REUTERS via NYT http://ift.tt/1Rinevt"
2016-03-22 23:38:37+00:00,"@_torresadriana4 yo creo que me dió cancer o ébola ese twit, no estoy seguro todavía"
2016-03-22 23:38:31+00:00,afpfr: RT BacBrig: Ebola : la réapparition du virus a causé la mort d'au moins cinq personnes http://u.afp.com/Z864 #AFP
2016-03-22 23:38:20+00:00,Global Reports on Ebola's Lessons Overlook Politics and Misplace Scrutiny http://ift.tt/25kxGtW
2016-03-22 23:38:20+00:00,UPDATE 1-Fifth person dies in Guinea Ebola flare-up http://ift.tt/1S4zopj
2016-03-22 23:38:19+00:00,Guinea traces 816 Ebola contacts http://ift.tt/25kxGtP
2016-03-22 23:38:10+00:00,"""Ebola Fears Shut a Liberian Border"" by REUTERS via NYT The New York Times http://ift.tt/1Rinevt"
2016-03-22 23:37:44+00:00,"""Ebola Fears Shut a Liberian Border"" by REUTERS via NYT The New York Times http://ift.tt/1Rinevt"
2016-03-22 23:37:31+00:00,#Ebola At least 5 dead in Guinea Ebola flare-up - News24 http://bit.ly/1Zq8JJf
2016-03-22 23:36:18+00:00,"""Ebola Fears Shut a Liberian Border"" by REUTERS via NYT The New York Times http://ift.tt/1Rinevt"
2016-03-22 23:36:14+00:00,Fifth person dies in Guinea Ebola flare-up: authorities. Check out http://ift.tt/1RjmKTG. #ebola 
2016-03-22 23:35:40+00:00,"Scientists warn of emergence of new virus deadlier than Ebola, Zika https://today.ng/p/p6bo2 via todayng https://twitter.com/NigeriaNewsdesk/status/712418594622058496/photo/1"
2016-03-22 23:35:38+00:00,"""Ebola Fears Shut a Liberian Border"" by REUTERS via NYT The New York Times http://ift.tt/1Rinevt"
2016-03-22 23:35:29+00:00,"""Ebola Fears Shut a Liberian Border"" by REUTERS via NYT The New York Times http://ift.tt/1Rinevt"
2016-03-22 23:35:27+00:00,"""Ebola Fears Shut a Liberian Border"" by REUTERS via NYT The New York Times http://ift.tt/1Rinevt"
2016-03-22 23:35:19+00:00,"""Ebola Fears Shut a Liberian Border"" by REUTERS via NYT The New York Times http://ift.tt/1Rinevt"
2016-03-22 23:35:06+00:00,Fifth person dies in #Guinea #Ebola flare http://ow.ly/ZPkHm -up.
2016-03-22 23:34:58+00:00,my arm itches I think i have Ebola
2016-03-22 23:34:35+00:00,"""Ebola Fears Shut a Liberian Border"" by REUTERS via NYT The New York Times http://ift.tt/1Rinevt"
2016-03-22 23:34:33+00:00,Quinta pessoa morre em volta repentina do Ebola: Caso mais recente foi detectado próximo ao vilarejo de Korokp... http://bit.ly/1RinWcg
2016-03-22 23:34:18+00:00,Nation of Islam Leader Louis Farrakhan Says 'Ebola Was Manufactured to Kill Blacks' https://youtu.be/S5PKLiZDZOE
2016-03-22 23:34:12+00:00,Fifth person dies in Guinea Ebola flare-up http://dlvr.it/Ks8Tzn
2016-03-22 23:34:06+00:00,#msnbc King bitches about @potus for being in Cuba during Belgium bombing: Perry left TX during Ebola to film campaign footage overseas
2016-03-22 23:34:05+00:00,@girlhoodposts Don't WORRY if We could beat #Ebola some of #theM who DREAM can B Ripped out !! #BrusselsAttacks
2016-03-22 23:33:02+00:00,Liberia closes borders after Guinea announces new Ebola cases http://www.singlelinkmagonline.com/2016/03/liberia-closes-borders-after-guinea.html
2016-03-22 23:32:58+00:00,Liberia closes borders after Guinea announces new Ebola cases http://fb.me/2ndRmZNrd
2016-03-22 23:32:56+00:00,"""Ebola Fears Shut a Liberian Border"" by REUTERS via NYT The New York Times http://ift.tt/1Rinevt"
