Country,Cases,Deaths,Year,Month,Day
Luxembourg,4,0,2009,7,3
Malaysia,112,0,2009,7,3
Malta,2,0,2009,7,3
Mauritius,1,0,2009,7,3
Mexico,10262,119,2009,7,3
Montenegro,9,0,2009,7,3
Morocco,17,0,2009,7,3
Myanmar,1,0,2009,7,3
Nepal,5,0,2009,7,3
Netherlands,154,0,2009,7,3
New Zealand,912,0,2009,7,3
Nicaragua,308,0,2009,7,3
Norway,41,0,2009,7,3
Oman,3,0,2009,7,3
Palau,1,0,2009,7,3
Panama,417,0,2009,7,3
Papua New Guinea,1,0,2009,7,3
Paraguay,103,0,2009,7,3
Peru,538,0,2009,7,3
Philippines,1709,1,2009,7,3
Poland,19,0,2009,7,3
Portugal,27,0,2009,7,3
Qatar,10,0,2009,7,3
Romania,36,0,2009,7,3
Russia,3,0,2009,7,3
Saint Lucia,1,0,2009,7,3
Samoa,1,0,2009,7,3
Saudi Arabia,89,0,2009,7,3
Serbia,15,0,2009,7,3
Singapore,878,0,2009,7,3
Slovakia,18,0,2009,7,3
Slovenia,5,0,2009,7,3
South Africa,12,0,2009,7,3
Spain,760,1,2009,7,3
Sri Lanka,17,0,2009,7,3
Suriname,11,0,2009,7,3
Sweden,74,0,2009,7,3
Switzerland,72,0,2009,7,3
Thailand,1414,3,2009,7,3
Trinidad and Tobago,53,0,2009,7,3
Tunisia,3,0,2009,7,3
Turkey,40,0,2009,7,3
Uganda,1,0,2009,7,3
Ukraine,1,0,2009,7,3
United Arab Emirates,8,0,2009,7,3
United Kingdom,7464,3,2009,7,3
United States of America,33902,170,2009,7,3
Uruguay,195,1,2009,7,3
Vanuatu,2,0,2009,7,3
Venezuela,204,0,2009,7,3
Viet Nam,131,0,2009,7,3
West Bank and Gaza Strip,30,0,2009,7,3
Yemen,7,0,2009,7,3
Algeria,2,0,2009,7,1
Antigua and Barbuda,2,0,2009,7,1
Argentina,1587,26,2009,7,1
Australia,4090,7,2009,7,1
Austria,15,0,2009,7,1
Bahamas,6,0,2009,7,1
Bahrain,15,0,2009,7,1
Bangladesh,1,0,2009,7,1
Barbados,10,0,2009,7,1
Belgium,47,0,2009,7,1
"Bermuda, UKOT",1,0,2009,7,1
Bolivia,205,0,2009,7,1
Brazil,680,1,2009,7,1
"British Virgin Islands, UKOT",1,0,2009,7,1
Brunei Darussalam,29,0,2009,7,1
Bulgaria,10,0,2009,7,1
Cambodia,6,0,2009,7,1
Canada,7983,25,2009,7,1
Cap Verde,3,0,2009,7,1
"Cayman Islands, UKOT",13,0,2009,7,1
Chile,6211,12,2009,7,1
China,1518,0,2009,7,1
Colombia,93,2,2009,7,1
Costa Rica,279,2,2009,7,1
Cote d'Ivoire,2,0,2009,7,1
Cuba,46,0,2009,7,1
Cyprus,48,0,2009,7,1
Czech Republic,9,0,2009,7,1
Denmark,55,0,2009,7,1
Dominica,1,0,2009,7,1
Dominican Republic,108,2,2009,7,1
Ecuador,163,0,2009,7,1
Egypt,67,0,2009,7,1
El Salvador,226,0,2009,7,1
