virus_type,date,country,cases,deaths,recovered,week_number,month,year
Coronavirus,2020-03-03,Bahrain,0.0,0.0,0.0,10,3,2020
Coronavirus,2020-02-28,Belarus,1.0,0.0,0.0,9,2,2020
Coronavirus,2020-02-29,Belarus,0.0,0.0,0.0,9,2,2020
Coronavirus,2020-03-01,Belarus,0.0,0.0,0.0,9,3,2020
Coronavirus,2020-03-02,Belarus,0.0,0.0,0.0,10,3,2020
Coronavirus,2020-03-03,Belarus,0.0,0.0,0.0,10,3,2020
Coronavirus,2020-02-04,Belgium,1.0,0.0,0.0,6,2,2020
Coronavirus,2020-02-05,Belgium,0.0,0.0,0.0,6,2,2020
Coronavirus,2020-02-06,Belgium,0.0,0.0,0.0,6,2,2020
Coronavirus,2020-02-07,Belgium,0.0,0.0,0.0,6,2,2020
Coronavirus,2020-02-08,Belgium,0.0,0.0,0.0,6,2,2020
Coronavirus,2020-02-09,Belgium,0.0,0.0,0.0,6,2,2020
Coronavirus,2020-02-10,Belgium,0.0,0.0,0.0,7,2,2020
Coronavirus,2020-02-11,Belgium,0.0,0.0,0.0,7,2,2020
Coronavirus,2020-02-12,Belgium,0.0,0.0,0.0,7,2,2020
Coronavirus,2020-02-13,Belgium,0.0,0.0,0.0,7,2,2020
Coronavirus,2020-02-14,Belgium,0.0,0.0,0.0,7,2,2020
Coronavirus,2020-02-15,Belgium,0.0,0.0,0.0,7,2,2020
Coronavirus,2020-02-16,Belgium,0.0,0.0,0.0,7,2,2020
Coronavirus,2020-02-17,Belgium,0.0,0.0,1.0,8,2,2020
Coronavirus,2020-02-18,Belgium,0.0,0.0,0.0,8,2,2020
Coronavirus,2020-02-19,Belgium,0.0,0.0,0.0,8,2,2020
Coronavirus,2020-02-20,Belgium,0.0,0.0,0.0,8,2,2020
Coronavirus,2020-02-21,Belgium,0.0,0.0,0.0,8,2,2020
Coronavirus,2020-02-22,Belgium,0.0,0.0,0.0,8,2,2020
Coronavirus,2020-02-23,Belgium,0.0,0.0,0.0,8,2,2020
Coronavirus,2020-02-24,Belgium,0.0,0.0,0.0,9,2,2020
Coronavirus,2020-02-25,Belgium,0.0,0.0,0.0,9,2,2020
Coronavirus,2020-02-26,Belgium,0.0,0.0,0.0,9,2,2020
Coronavirus,2020-02-27,Belgium,0.0,0.0,0.0,9,2,2020
Coronavirus,2020-02-28,Belgium,0.0,0.0,0.0,9,2,2020
Coronavirus,2020-02-29,Belgium,0.0,0.0,0.0,9,2,2020
Coronavirus,2020-03-01,Belgium,1.0,0.0,0.0,9,3,2020
Coronavirus,2020-03-02,Belgium,6.0,0.0,0.0,10,3,2020
Coronavirus,2020-03-03,Belgium,5.0,0.0,0.0,10,3,2020
Coronavirus,2020-01-23,Brazil,0.0,0.0,0.0,4,1,2020
Coronavirus,2020-02-26,Brazil,1.0,0.0,0.0,9,2,2020
Coronavirus,2020-02-27,Brazil,0.0,0.0,0.0,9,2,2020
Coronavirus,2020-02-28,Brazil,0.0,0.0,0.0,9,2,2020
Coronavirus,2020-02-29,Brazil,1.0,0.0,0.0,9,2,2020
Coronavirus,2020-03-01,Brazil,0.0,0.0,0.0,9,3,2020
Coronavirus,2020-03-02,Brazil,0.0,0.0,0.0,10,3,2020
Coronavirus,2020-03-03,Brazil,0.0,0.0,0.0,10,3,2020
Coronavirus,2020-01-27,Cambodia,1.0,0.0,0.0,5,1,2020
Coronavirus,2020-01-28,Cambodia,0.0,0.0,0.0,5,1,2020
Coronavirus,2020-01-29,Cambodia,0.0,0.0,0.0,5,1,2020
Coronavirus,2020-01-30,Cambodia,0.0,0.0,0.0,5,1,2020
Coronavirus,2020-01-31,Cambodia,0.0,0.0,0.0,5,1,2020
Coronavirus,2020-02-01,Cambodia,0.0,0.0,0.0,5,2,2020
Coronavirus,2020-02-02,Cambodia,0.0,0.0,0.0,5,2,2020
Coronavirus,2020-02-03,Cambodia,0.0,0.0,0.0,6,2,2020
Coronavirus,2020-02-04,Cambodia,0.0,0.0,0.0,6,2,2020
Coronavirus,2020-02-05,Cambodia,0.0,0.0,0.0,6,2,2020
Coronavirus,2020-02-06,Cambodia,0.0,0.0,0.0,6,2,2020
Coronavirus,2020-02-07,Cambodia,0.0,0.0,0.0,6,2,2020
Coronavirus,2020-02-08,Cambodia,0.0,0.0,0.0,6,2,2020
Coronavirus,2020-02-09,Cambodia,0.0,0.0,0.0,6,2,2020
Coronavirus,2020-02-10,Cambodia,0.0,0.0,0.0,7,2,2020
Coronavirus,2020-02-11,Cambodia,0.0,0.0,0.0,7,2,2020
Coronavirus,2020-02-12,Cambodia,0.0,0.0,1.0,7,2,2020
Coronavirus,2020-02-13,Cambodia,0.0,0.0,0.0,7,2,2020
Coronavirus,2020-02-14,Cambodia,0.0,0.0,0.0,7,2,2020
Coronavirus,2020-02-15,Cambodia,0.0,0.0,0.0,7,2,2020
Coronavirus,2020-02-16,Cambodia,0.0,0.0,0.0,7,2,2020
Coronavirus,2020-02-17,Cambodia,0.0,0.0,0.0,8,2,2020
Coronavirus,2020-02-18,Cambodia,0.0,0.0,0.0,8,2,2020
Coronavirus,2020-02-19,Cambodia,0.0,0.0,0.0,8,2,2020
Coronavirus,2020-02-20,Cambodia,0.0,0.0,0.0,8,2,2020
Coronavirus,2020-02-21,Cambodia,0.0,0.0,0.0,8,2,2020
Coronavirus,2020-02-22,Cambodia,0.0,0.0,0.0,8,2,2020
Coronavirus,2020-02-23,Cambodia,0.0,0.0,0.0,8,2,2020
Coronavirus,2020-02-24,Cambodia,0.0,0.0,0.0,9,2,2020
Coronavirus,2020-02-25,Cambodia,0.0,0.0,0.0,9,2,2020
Coronavirus,2020-02-26,Cambodia,0.0,0.0,0.0,9,2,2020
Coronavirus,2020-02-27,Cambodia,0.0,0.0,0.0,9,2,2020
Coronavirus,2020-02-28,Cambodia,0.0,0.0,0.0,9,2,2020
Coronavirus,2020-02-29,Cambodia,0.0,0.0,0.0,9,2,2020
Coronavirus,2020-03-01,Cambodia,0.0,0.0,0.0,9,3,2020
Coronavirus,2020-03-02,Cambodia,0.0,0.0,0.0,10,3,2020
Coronavirus,2020-03-03,Cambodia,0.0,0.0,0.0,10,3,2020
Coronavirus,2020-01-26,Canada,1.0,0.0,0.0,4,1,2020
Coronavirus,2020-01-27,Canada,0.0,0.0,0.0,5,1,2020
Coronavirus,2020-01-28,Canada,2.0,0.0,0.0,5,1,2020
Coronavirus,2020-01-29,Canada,2.0,0.0,0.0,5,1,2020
Coronavirus,2020-01-30,Canada,0.0,0.0,0.0,5,1,2020
Coronavirus,2020-01-31,Canada,0.0,0.0,0.0,5,1,2020
Coronavirus,2020-02-01,Canada,1.0,0.0,0.0,5,2,2020
Coronavirus,2020-02-02,Canada,0.0,0.0,0.0,5,2,2020
Coronavirus,2020-02-03,Canada,3.0,0.0,0.0,6,2,2020
Coronavirus,2020-02-04,Canada,0.0,0.0,0.0,6,2,2020
Coronavirus,2020-02-05,Canada,0.0,0.0,0.0,6,2,2020
Coronavirus,2020-02-06,Canada,1.0,0.0,0.0,6,2,2020
Coronavirus,2020-02-07,Canada,2.0,0.0,0.0,6,2,2020
Coronavirus,2020-02-08,Canada,0.0,0.0,0.0,6,2,2020
Coronavirus,2020-02-09,Canada,0.0,0.0,0.0,6,2,2020
Coronavirus,2020-02-10,Canada,0.0,0.0,0.0,7,2,2020
Coronavirus,2020-02-11,Canada,0.0,0.0,0.0,7,2,2020
Coronavirus,2020-02-12,Canada,0.0,0.0,1.0,7,2,2020
Coronavirus,2020-02-13,Canada,0.0,0.0,0.0,7,2,2020
Coronavirus,2020-02-14,Canada,0.0,0.0,0.0,7,2,2020
Coronavirus,2020-02-15,Canada,0.0,0.0,0.0,7,2,2020
Coronavirus,2020-02-16,Canada,0.0,0.0,0.0,7,2,2020
