,Date,Country,Cases,Deaths,Recovered,week_number,month,year
101,2015-04-20,Guinea,3565.0,2357,1208,17,4,2015
102,2015-04-21,Guinea,3565.0,2358,1207,17,4,2015
103,2015-04-22,Guinea,3565.0,2358,1207,17,4,2015
104,2015-04-23,Guinea,3568.0,2362,1206,17,4,2015
105,2015-04-24,Guinea,3576.0,2365,1211,17,4,2015
106,2015-04-27,Guinea,3585.0,2374,1211,18,4,2015
107,2015-04-28,Guinea,3587.0,2377,1210,18,4,2015
108,2015-04-30,Guinea,3589.0,2381,1208,18,4,2015
109,2015-05-01,Guinea,3591.0,2383,1208,18,5,2015
110,2015-05-04,Guinea,3591.0,2385,1206,19,5,2015
111,2015-05-05,Guinea,3591.0,2386,1205,19,5,2015
112,2015-05-06,Guinea,3591.0,2386,1205,19,5,2015
113,2015-05-07,Guinea,3592.0,2387,1205,19,5,2015
114,2015-05-08,Guinea,3592.0,2387,1205,19,5,2015
115,2015-05-11,Guinea,3599.0,2391,1208,20,5,2015
116,2015-05-12,Guinea,3599.0,2392,1207,20,5,2015
117,2015-05-13,Guinea,3599.0,2396,1203,20,5,2015
118,2015-05-14,Guinea,3615.0,2399,1216,20,5,2015
119,2015-05-15,Guinea,3619.0,2401,1218,20,5,2015
120,2015-05-18,Guinea,3626.0,2405,1221,21,5,2015
121,2015-05-19,Guinea,3635.0,2407,1228,21,5,2015
122,2015-05-20,Guinea,3635.0,2407,1228,21,5,2015
123,2015-05-21,Guinea,3637.0,2409,1228,21,5,2015
124,2015-05-22,Guinea,3639.0,2412,1227,21,5,2015
125,2015-05-25,Guinea,3640.0,2418,1222,22,5,2015
126,2015-05-26,Guinea,3641.0,2420,1221,22,5,2015
127,2015-05-27,Guinea,3641.0,2420,1221,22,5,2015
128,2015-05-28,Guinea,3643.0,2423,1220,22,5,2015
129,2015-05-29,Guinea,3644.0,2425,1219,22,5,2015
130,2015-06-01,Guinea,3652.0,2428,1224,23,6,2015
131,2015-06-02,Guinea,3652.0,2429,1223,23,6,2015
132,2015-06-03,Guinea,3652.0,2429,1223,23,6,2015
133,2015-06-04,Guinea,3657.0,2431,1226,23,6,2015
134,2015-06-05,Guinea,3664.0,2431,1233,23,6,2015
135,2015-06-08,Guinea,3669.0,2435,1234,24,6,2015
136,2015-06-09,Guinea,3670.0,2437,1233,24,6,2015
137,2015-06-10,Guinea,3670.0,2437,1233,24,6,2015
138,2015-06-11,Guinea,3674.0,2440,1234,24,6,2015
139,2015-06-12,Guinea,3677.0,2440,1237,24,6,2015
140,2015-06-15,Guinea,3677.0,2443,1234,25,6,2015
